envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
476	5100000	5172000	4932000	5172000	5172000	5052000	
477	5097000	5169000	4929000	5169000	5169000	5049000	
478	5094000	5166000	4926000	5166000	5166000	5046000	
479	5115000	5163000	4923000	5283000	5163000	5043000	
480	5136000	5280000	4920000	5280000	5160000	5040000	
481	5133000	5277000	4917000	5277000	5157000	5037000	
482	5130000	5274000	4914000	5274000	5154000	5034000	
483	5127000	5271000	4911000	5271000	5151000	5031000	
484	5124000	5268000	4908000	5268000	5148000	5028000	
485	5121000	5265000	4905000	5265000	5145000	5025000	
486	5166000	5262000	5022000	5262000	5262000	5022000	
487	5187000	5379000	5019000	5259000	5259000	5019000	
488	5208000	5376000	5016000	5256000	5256000	5136000	
489	5205000	5373000	5013000	5253000	5253000	5133000	
490	5250000	5490000	5130000	5250000	5250000	5130000	
491	5247000	5487000	5127000	5247000	5247000	5127000	
492	5244000	5484000	5124000	5244000	5244000	5124000	
493	5265000	5601000	5121000	5241000	5241000	5121000	
494	5286000	5598000	5118000	5238000	5238000	5238000	
495	5283000	5595000	5115000	5235000	5235000	5235000	
496	5328000	5712000	5232000	5232000	5232000	5232000	
497	5349000	5829000	5229000	5229000	5229000	5229000	
498	5370000	5826000	5226000	5226000	5226000	5346000	
499	5367000	5823000	5223000	5223000	5223000	5343000	
500	5364000	5820000	5220000	5220000	5220000	5340000	
501	5385000	5937000	5217000	5217000	5217000	5337000	
502	5382000	5934000	5214000	5214000	5214000	5334000	
503	5379000	5931000	5211000	5211000	5211000	5331000	
504	5376000	5928000	5208000	5208000	5208000	5328000	
505	5373000	5925000	5205000	5205000	5205000	5325000	
506	5370000	5922000	5202000	5202000	5202000	5322000	
507	5367000	5919000	5199000	5199000	5199000	5319000	
508	5388000	5916000	5316000	5196000	5196000	5316000	
509	5385000	5913000	5313000	5193000	5193000	5313000	
510	5406000	6030000	5310000	5190000	5190000	5310000	
511	5403000	6027000	5307000	5187000	5187000	5307000	
512	5400000	6024000	5304000	5184000	5184000	5304000	
513	5397000	6021000	5301000	5181000	5181000	5301000	
514	5418000	6018000	5298000	5178000	5298000	5298000	
515	5415000	6015000	5295000	5175000	5295000	5295000	
516	5436000	6012000	5292000	5292000	5292000	5292000	
517	5433000	6009000	5289000	5289000	5289000	5289000	
518	5454000	6006000	5406000	5286000	5286000	5286000	
519	5451000	6003000	5403000	5283000	5283000	5283000	
520	5472000	6e+06	5400000	5280000	5280000	5400000	
521	5469000	5997000	5397000	5277000	5277000	5397000	
522	5466000	5994000	5394000	5274000	5274000	5394000	
523	5535000	5991000	5391000	5391000	5391000	5511000	
524	5532000	5988000	5388000	5388000	5388000	5508000	
525	5529000	5985000	5385000	5385000	5385000	5505000	
526	5526000	5982000	5382000	5382000	5382000	5502000	
527	5523000	5979000	5379000	5379000	5379000	5499000	
528	5544000	5976000	5376000	5376000	5376000	5616000	
