envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
335	4131000	4515000	4155000	3795000	4275000	3915000	
336	4176000	4512000	4152000	3792000	4392000	4032000	
337	4197000	4629000	4149000	3789000	4389000	4029000	
338	4194000	4626000	4146000	3786000	4386000	4026000	
339	4215000	4623000	4263000	3783000	4383000	4023000	
340	4236000	4620000	4380000	3780000	4380000	4020000	
341	4257000	4617000	4377000	3897000	4377000	4017000	
342	4302000	4614000	4494000	3894000	4374000	4134000	
343	4299000	4611000	4491000	3891000	4371000	4131000	
344	4296000	4608000	4488000	3888000	4368000	4128000	
345	4341000	4725000	4605000	3885000	4365000	4125000	
346	4362000	4842000	4602000	3882000	4362000	4122000	
347	4383000	4839000	4599000	3879000	4359000	4239000	
348	4380000	4836000	4596000	3876000	4356000	4236000	
349	4401000	4833000	4713000	3873000	4353000	4233000	
350	4422000	4830000	4710000	3870000	4350000	4350000	
351	4467000	4827000	4707000	3987000	4467000	4347000	
352	4464000	4824000	4704000	3984000	4464000	4344000	
353	4509000	4821000	4701000	4101000	4581000	4341000	
354	4506000	4818000	4698000	4098000	4578000	4338000	
355	4551000	4935000	4695000	4215000	4575000	4335000	
356	4548000	4932000	4692000	4212000	4572000	4332000	
357	4593000	4929000	4689000	4329000	4689000	4329000	
358	4614000	4926000	4806000	4326000	4686000	4326000	
359	4611000	4923000	4803000	4323000	4683000	4323000	
360	4608000	4920000	4800000	4320000	4680000	4320000	
361	4605000	4917000	4797000	4317000	4677000	4317000	
362	4650000	5034000	4794000	4314000	4674000	4434000	
363	4647000	5031000	4791000	4311000	4671000	4431000	
364	4644000	5028000	4788000	4308000	4668000	4428000	
365	4641000	5025000	4785000	4305000	4665000	4425000	
366	4638000	5022000	4782000	4302000	4662000	4422000	
367	4635000	5019000	4779000	4299000	4659000	4419000	
368	4656000	5016000	4776000	4416000	4656000	4416000	
369	4653000	5013000	4773000	4413000	4653000	4413000	
370	4698000	5010000	4890000	4530000	4650000	4410000	
371	4695000	5007000	4887000	4527000	4647000	4407000	
372	4740000	5124000	4884000	4644000	4644000	4404000	
373	4761000	5121000	4881000	4641000	4641000	4521000	
374	4758000	5118000	4878000	4638000	4638000	4518000	
375	4755000	5115000	4875000	4635000	4635000	4515000	
376	4800000	5112000	4872000	4752000	4752000	4512000	
377	4821000	5109000	4869000	4749000	4869000	4509000	
378	4842000	5106000	4866000	4746000	4866000	4626000	
379	4839000	5103000	4863000	4743000	4863000	4623000	
